User_Id,Bar_Id,Exercise_Id,Date,Time,Timer,ZAccel,YAccel,XAccel,YRot,XRot,ZRot,Load
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,0,0,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,6,79.49350976,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,13,143.8629178,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,18,272.0230671,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,26,362.0243963,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,32,372.4171432,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,38,458.5573384,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,43,637.9202814,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,50,672.5510584,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,56,644.7450262,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,63,630.517657,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,69,604.2780446,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,75,821.4450759,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,81,982.6798742,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,88,740.7705304,0,0,0,0,0,225
69F74806-3C4A-439F-99BE-3A9911AED0F1,E72D08A1-ECD1-40EE-B716-2CF75F3B1ADE,946804DB-6817-4F23-975E-8B5AD31CF695,12/8/2020,15:52:12,94,983.9041156,0,0,0,0,0,225
